status,info
1,90
1,214
1,50
1,200
1,47
1,49
0,5
1,193
1,219
0,5
1,168
1,178
1,159
1,107
1,218
0,4
1,115
1,92
1,113
0,5
1,81
1,115
1,106
1,65
0,4
1,193
1,82
0,4
0,4
1,160
1,268
0,4
1,207
0,4
1,268
1,105
1,131
1,89
0,4
1,65
1,86
1,127
1,346
1,62
1,108
1,120
1,204
1,65
1,146
0,4
1,91
0,4
1,82
1,248
1,58
0,4
1,159
1,74
1,97
1,96
1,48
1,122
1,62
0,4
1,252
1,51
1,98
0,4
0,4
1,99
0,4
1,33
0,4
0,4
1,108
1,68
0,5
1,57
1,87
1,61
1,108
0,5
1,427
1,121
1,316
1,89
1,163
1,135
0,5
1,108
1,76
1,59
0,4
1,49
1,265
1,442
1,104
1,155
1,196
1,135
0,4
1,176
1,77
1,34
1,77
0,4
1,197
1,256
0,5
0,5
0,4
1,124
1,86
1,133
1,48
1,266
1,143
0,4
1,126
1,247
1,94
1,48
0,4
1,205
0,4
1,184
0,4
1,120
0,4
1,255
1,73
1,168
1,174
0,4
1,159
1,129
1,173
1,94
0,4
1,230
1,120
1,398
1,70
1,190
1,127
1,77
1,157
1,101
1,102
1,100
1,128
1,146
1,86
1,156
1,122
1,117
1,305
1,169
1,101
0,4
1,66
0,4
1,228
1,230
1,136
0,4
0,4
1,51
1,134
1,135
1,99
1,47
1,238
1,134
0,4
1,101
1,160
0,4
1,479
1,188
1,59
1,105
0,4
1,137
0,5
1,39
1,176
0,5
1,285
1,195
1,74
0,4
1,280
1,156
1,229
1,87
1,139
1,187
1,66
1,33
1,57
0,4
1,63
1,126
1,63
0,4
1,65
0,5
1,208
0,4
1,266
0,5
1,284
1,63
1,38
1,81
1,342
1,82
1,150
1,84
1,108
0,4
1,203
0,4
1,67
1,123
1,347
0,4
1,218
1,64
1,178
0,4
1,263
1,135
1,233
0,4
0,4
0,4
1,100
1,74
0,4
1,126
1,140
1,64
1,66
1,250
1,212
1,73
1,183
0,4
0,4
1,104
1,203
1,89
1,33
0,4
0,4
1,189
1,71
1,89
0,5
1,110
1,107
1,180
1,123
1,100
1,139
1,70
1,104
1,29
1,73
0,5
0,4
0,4
0,5
1,198
1,79
0,4
0,4
0,4
1,259
1,90
1,119
0,4
1,256
0,5
1,148
1,74
0,4
1,139
1,209
1,109
1,239
1,168
1,193
1,257
1,112
1,107
1,86
1,32
0,4
1,92
0,5
1,245
1,93
1,54
1,52
0,4
1,193
1,203
1,175
1,67
1,152
1,272
1,68
1,174
1,64
1,260
0,5
1,174
0,4
1,186
1,180
0,5
1,102
1,55
0,5
1,207
1,194
1,82
1,112
1,38
1,59
1,167
1,271
1,229
1,131
