status,info
1,794
1,563
1,311
1,190
1,446
1,127
1,1405
1,177
1,392
1,1369
1,177
1,407
1,1437
1,211
1,464
1,813
1,207
1,178
1,186
1,223
1,1076
1,243
1,149
0,2
1,1467
1,593
1,499
1,375
1,398
1,863
1,727
1,304
1,103
1,296
1,183
1,372
1,373
0,2
1,462
0,2
1,576
0,2
1,1060
1,317
1,100
1,717
1,137
0,2
1,461
1,652
1,1432
0,2
1,610
1,123
1,574
1,175
0,2
1,627
0,2
0,2
0,2
1,1465
1,1716
1,494
0,2
1,735
1,174
0,2
0,2
1,867
1,170
1,171
1,198
1,1141
1,398
1,1461
1,106
1,1074
1,926
1,1321
1,407
1,353
1,121
0,2
0,2
1,161
1,1076
1,1334
1,57
1,175
1,700
0,2
1,958
1,16
1,292
1,159
1,1016
1,262
0,2
1,1125
1,1223
1,1406
1,1258
1,319
1,211
1,383
1,52
1,471
1,1299
1,208
1,1796
0,4
1,538
1,476
1,715
1,177
1,492
1,771
1,134
1,1686
1,619
1,120
1,337
1,89
1,87
1,845
1,1265
1,1763
1,376
1,156
1,866
1,342
1,142
1,679
1,706
1,280
1,194
1,297
1,1188
1,1691
1,224
1,350
1,157
1,777
1,888
1,214
0,2
1,290
1,1346
1,81
0,2
1,53
1,818
1,503
1,432
1,1688
1,116
1,1659
1,547
1,792
1,1785
0,2
1,401
1,1460
0,2
0,2
0,2
1,755
1,205
1,1321
1,817
1,536
1,422
1,514
1,206
1,84
1,328
1,129
1,577
1,150
1,681
1,194
1,1148
1,693
1,904
0,2
1,1752
1,667
1,274
0,2
1,1367
0,2
1,65
0,2
1,423
1,1440
1,699
1,863
0,2
1,285
1,140
1,131
1,214
1,1282
1,491
1,1349
1,444
1,489
1,422
1,292
1,1097
1,488
1,1743
1,1434
1,51
1,1028
1,199
1,478
1,727
1,903
1,603
1,479
1,1651
1,292
1,616
0,2
0,2
1,634
1,1535
1,1449
1,448
1,95
1,987
1,1641
1,1002
1,1229
1,1226
1,774
1,452
1,340
1,454
1,85
1,1739
1,1550
1,547
1,238
1,730
1,1381
1,1319
1,437
1,396
1,404
1,842
1,400
1,400
1,307
1,538
1,238
1,460
1,303
1,982
1,335
1,994
1,99
1,156
1,720
1,414
1,982
1,279
1,1048
1,146
1,1015
0,2
1,758
1,77
1,798
1,51
0,2
1,1584
1,493
1,676
1,803
1,262
1,600
1,415
1,384
1,240
1,474
1,237
1,218
1,1029
1,158
1,517
1,201
1,141
1,174
0,2
1,926
1,470
0,2
1,109
1,411
0,2
1,1403
1,56
1,1374
1,1112
1,89
0,2
1,282
0,2
1,1111
1,872
1,45
1,1466
1,100
1,489
0,2
1,856
1,1116
1,133
1,980
0,2
1,265
1,1143
1,507
1,408
1,604
1,276
1,212
1,738
1,384
1,250
1,66
0,2
1,147
1,215
1,1016
1,360
1,661
1,412
1,282
1,961
1,230
1,96
1,938
1,131
1,355
1,247
1,896
1,378
1,141
1,518
0,2
1,480
1,156
1,83
1,220
1,454
1,66
0,2
1,521
1,1672
1,26
0,2
1,277
1,547
1,411
1,668
1,1148
1,1506
1,220
1,465
1,227
1,1274
1,556
0,4
0,4
1,285
1,836
1,1007
1,505
1,435
1,537
1,778
