status,info
1,120
1,91
1,80
1,147
1,78
1,56
1,82
1,163
1,86
1,64
1,81
1,105
1,75
1,82
1,62
1,96
1,124
1,77
1,56
1,58
1,83
1,112
1,71
1,61
1,106
1,93
1,59
1,87
1,73
1,104
1,57
1,127
1,95
1,104
1,123
1,95
1,73
1,81
1,89
1,85
1,171
1,83
1,63
1,102
1,74
1,63
1,106
1,81
1,85
1,63
1,110
1,66
1,85
1,72
1,108
1,104
1,106
1,152
1,87
1,71
1,69
1,89
1,142
1,81
1,102
1,66
1,108
1,102
1,96
1,132
1,161
1,113
1,272
1,75
1,83
1,66
1,91
1,62
1,79
1,75
1,95
1,88
1,86
1,86
1,85
1,61
1,56
1,86
1,60
1,97
1,117
1,104
1,148
1,62
1,145
1,102
1,94
1,168
1,97
1,65
1,78
1,84
1,104
1,120
1,72
1,88
1,80
1,276
1,141
1,56
1,68
1,89
1,107
1,125
1,69
1,127
1,121
1,49
1,117
1,137
1,81
1,74
1,80
1,64
1,72
1,93
1,87
1,131
1,112
1,106
1,83
1,129
1,104
1,73
1,109
1,99
1,71
1,76
1,178
1,63
1,102
1,62
1,72
1,100
1,73
1,114
1,64
1,141
1,90
1,106
1,127
1,100
1,71
1,107
1,111
1,156
1,145
1,123
1,70
1,98
1,85
1,97
1,133
1,93
1,79
1,82
1,73
1,144
1,82
1,136
1,81
1,121
1,74
1,124
1,68
1,80
1,55
1,59
1,110
1,75
1,86
1,73
1,76
1,57
1,95
1,74
1,89
1,75
1,78
1,94
1,81
1,114
1,90
1,113
1,89
1,91
1,63
1,104
1,89
1,91
1,73
1,85
1,69
1,84
1,78
1,101
1,146
1,73
1,88
1,206
1,104
1,115
1,88
1,71
1,66
1,66
1,87
1,76
1,64
1,82
1,84
1,110
1,94
1,68
1,93
1,79
1,80
1,81
1,113
1,69
1,86
1,88
1,169
1,143
1,88
1,81
1,88
1,67
1,95
1,129
1,86
1,66
1,140
1,106
1,77
1,88
1,113
1,86
1,140
1,122
1,169
1,60
1,77
1,75
1,92
1,75
1,138
1,91
1,82
1,77
1,92
1,101
1,80
1,101
1,103
1,71
1,89
1,109
1,111
1,75
1,124
1,82
1,82
1,185
1,97
1,59
1,106
1,98
1,108
1,67
1,86
1,65
1,110
1,120
1,98
1,79
1,88
1,73
1,65
1,106
1,150
1,93
1,126
1,63
1,57
1,120
1,69
1,69
1,156
1,113
1,69
1,97
1,94
1,199
1,63
1,88
1,76
1,144
1,101
1,81
1,113
1,79
1,72
1,84
1,69
1,146
1,94
1,69
1,83
1,110
1,69
1,93
1,60
1,96
1,171
1,79
1,83
1,124
1,93
1,95
1,81
1,131
1,90
1,88
1,96
1,98
1,93
1,139
1,106
1,62
1,68
1,67
1,105
1,91
1,65
1,126
1,51
1,84
1,60
1,75
1,97
1,99
1,98
1,96
1,64
1,88
1,98
1,137
1,66
1,77
1,85
1,70
1,133
1,116
1,108
1,91
1,67
1,68
1,87
1,123
1,152
1,83
1,127
1,103
1,105
1,62
1,109
1,170
1,67
1,137
1,116
1,63
1,100
1,59
1,115
1,68
1,80
1,85
1,134
1,61
1,83
1,97
1,153
1,96
1,128
1,94
1,79
1,82
1,99
1,106
1,133
1,65
1,105
1,73
1,74
1,117
1,113
1,88
1,129
1,73
1,90
1,85
1,96
1,103
1,118
1,58
1,71
1,76
1,85
1,81
1,148
1,87
1,123
1,79
1,86
1,68
1,95
1,92
1,139
1,156
1,131
1,89
1,91
1,70
1,78
1,124
1,191
1,78
1,118
1,66
1,112
1,83
1,86
1,103
1,112
1,118
1,62
1,121
1,80
1,54
1,64
1,81
1,77
1,91
1,86
1,115
1,106
1,69
1,68
1,78
1,56
1,79
1,87
1,116
1,89
1,92
1,95
1,115
1,71
1,87
1,109
1,70
1,72
1,101
1,78
1,70
1,109
1,152
1,85
1,68
1,94
1,71
1,84
1,51
1,100
1,121
1,65
1,86
1,131
1,102
1,91
1,84
1,95
1,72
1,122
1,88
1,105
1,92
1,76
1,96
1,93
1,75
1,87
1,184
1,108
1,75
1,64
1,95
1,73
1,98
1,65
1,98
1,96
1,126
1,61
1,123
1,110
1,145
1,86
1,116
1,110
1,86
1,110
1,91
1,63
1,102
1,75
1,71
1,86
1,95
1,278
1,60
1,90
1,121
1,145
1,80
1,89
1,112
1,71
1,139
1,86
1,104
1,65
1,118
1,98
1,133
1,78
1,197
1,75
1,65
1,146
1,77
1,93
1,80
1,114
1,99
1,67
1,92
1,71
1,105
1,84
1,65
1,115
1,177
1,209
1,118
1,88
1,71
1,68
1,81
1,66
1,105
1,107
1,74
1,168
1,86
1,117
1,70
1,48
1,83
1,102
1,86
1,92
1,100
1,76
1,84
1,83
1,72
1,123
