status,info
1,675
0,2
0,2
0,2
1,80
0,2
1,123
1,626
0,2
1,165
0,2
1,509
0,2
1,672
1,301
1,307
1,155
1,389
1,763
1,703
0,2
1,798
1,92
1,604
1,326
0,2
1,622
0,2
1,245
1,882
1,406
1,123
1,271
1,505
1,613
1,252
1,707
1,109
0,2
1,116
0,2
1,64
1,238
1,139
1,136
1,148
1,137
1,612
1,89
1,450
1,198
0,2
1,161
0,2
1,137
1,361
1,344
1,603
1,59
1,251
1,144
0,2
1,763
0,2
1,463
1,406
1,495
0,2
0,2
1,393
1,154
1,520
1,487
1,861
1,213
0,2
0,2
1,100
0,2
1,38
1,327
1,409
1,33
0,2
1,464
0,2
1,406
1,40
0,2
1,460
1,480
1,492
1,548
0,2
0,2
1,787
0,2
0,2
1,201
1,179
0,2
0,2
0,2
1,754
0,2
0,2
1,105
1,84
1,194
1,810
0,2
0,2
1,868
1,685
1,595
0,2
1,727
1,452
0,2
1,333
0,2
1,685
0,2
1,83
0,2
0,2
0,2
0,2
1,438
1,260
1,222
1,609
1,90
1,462
0,2
0,2
1,202
1,578
1,114
1,708
1,644
1,681
1,570
1,514
1,160
1,167
0,2
1,126
1,302
0,2
1,179
1,299
0,2
0,2
1,315
1,314
0,2
1,213
0,2
1,152
0,2
0,2
0,2
1,315
1,254
1,666
1,399
0,2
0,2
0,2
1,119
1,800
0,2
0,2
1,188
1,225
0,2
1,414
1,183
1,62
0,2
1,850
1,523
1,401
1,249
1,363
1,175
1,191
0,2
1,615
0,2
0,2
0,2
1,108
0,2
0,2
1,554
0,2
1,429
0,2
0,2
1,334
1,784
1,257
1,506
1,345
0,2
1,120
1,170
1,778
0,2
1,108
1,209
1,840
0,2
1,164
0,2
0,2
1,436
1,776
0,2
1,180
1,203
1,721
0,2
1,58
1,878
0,2
1,709
1,179
0,2
0,2
1,30
1,758
1,716
1,244
1,131
1,459
0,2
1,472
1,641
1,679
1,128
1,467
1,89
0,2
1,589
1,50
0,2
0,2
1,126
0,2
1,98
0,2
1,426
1,653
0,2
1,443
1,499
1,398
1,456
0,2
1,391
1,647
1,102
1,672
1,763
0,2
1,136
1,99
0,2
1,858
0,2
1,820
0,2
1,129
0,2
1,877
1,175
1,234
0,2
1,380
0,2
1,530
1,268
0,2
1,62
1,323
1,132
1,203
0,2
1,446
1,776
1,209
1,395
0,2
1,266
1,680
1,787
1,245
1,341
1,561
1,647
1,276
1,275
1,89
0,2
1,159
1,296
0,2
1,276
1,46
1,142
1,257
1,152
1,526
0,2
1,369
1,113
1,378
1,698
1,292
1,130
1,110
1,830
1,302
1,293
1,213
0,2
1,544
0,2
1,72
1,346
1,53
0,2
1,328
1,110
0,2
0,2
1,273
1,303
1,76
1,280
1,247
1,351
1,582
1,513
1,493
1,241
1,438
1,209
1,394
1,538
0,2
0,2
1,117
1,501
1,373
1,93
1,774
1,846
1,597
1,375
1,252
0,2
1,563
0,2
0,2
0,2
1,659
0,2
0,2
1,726
1,396
1,425
0,2
0,2
0,2
1,68
0,2
1,658
1,451
1,333
1,403
1,721
1,266
1,370
1,828
1,198
0,2
1,76
0,2
0,2
1,349
1,224
1,121
0,2
1,886
0,2
1,233
1,324
1,483
1,46
0,2
0,2
1,482
1,497
1,98
0,2
1,154
1,538
1,378
0,2
1,396
1,223
0,2
0,2
1,420
1,748
1,360
1,334
1,92
1,232
1,678
1,513
1,368
1,100
1,104
1,752
1,379
1,178
0,2
0,2
0,2
1,830
1,253
1,178
1,66
1,183
1,111
1,146
1,218
0,2
1,614
1,248
1,228
1,264
1,803
1,201
1,562
1,123
1,565
1,646
1,734
1,133
0,2
1,317
1,168
0,2
1,722
0,2
1,163
0,2
1,348
1,228
1,76
1,574
0,2
0,2
1,470
1,659
1,170
1,348
1,619
1,877
1,82
0,2
0,2
1,394
0,2
0,2
0,2
1,340
0,2
1,269
0,2
1,179
1,865
0,2
1,869
0,2
0,2
1,102
0,2
0,2
1,184
1,156
1,214
1,374
0,2
0,2
1,233
0,2
1,49
1,61
1,232
1,212
1,727
0,2
1,583
1,216
1,691
1,239
0,2
1,717
0,2
1,874
0,2
1,470
1,67
1,428
1,188
0,2
1,229
1,384
1,59
1,283
0,2
1,158
1,878
1,152
0,2
1,287
1,310
0,2
1,263
1,888
1,66
1,254
0,2
0,2
0,2
1,742
0,2
1,156
0,2
0,2
1,155
1,58
0,2
1,474
0,2
1,646
1,524
0,2
1,153
0,2
0,2
0,2
1,493
1,189
1,144
1,548
1,387
1,864
0,2
1,267
1,568
1,468
1,434
1,295
1,323
1,153
1,489
1,241
1,304
0,2
1,509
0,2
1,589
1,210
0,2
0,2
1,351
0,2
1,574
1,361
1,281
1,552
0,2
1,390
1,871
0,2
0,2
1,266
1,773
0,2
1,619
1,252
0,2
1,790
1,737
1,73
0,2
1,375
0,2
0,2
1,604
1,177
1,881
1,403
0,2
0,2
1,611
1,79
1,192
0,2
1,292
1,446
1,790
1,600
1,851
1,638
1,491
1,237
0,2
0,2
1,558
0,2
1,313
1,287
1,225
1,246
1,346
0,2
1,91
1,859
1,92
0,2
1,363
0,2
1,632
1,379
1,639
0,2
0,2
0,2
1,444
1,108
1,341
1,158
1,51
1,220
1,135
1,109
1,614
0,2
1,98
1,826
1,511
1,682
1,66
1,877
0,2
1,628
1,470
0,2
1,45
0,2
1,298
1,436
1,653
1,571
0,2
0,2
1,369
0,2
1,631
0,2
1,677
1,375
1,474
1,241
1,319
0,2
0,2
0,2
0,2
1,844
1,855
0,2
1,307
1,131
0,2
1,732
1,848
0,2
0,2
0,2
0,2
0,2
1,824
1,127
1,91
1,761
1,186
1,710
1,704
1,713
0,2
1,150
1,791
1,616
0,2
1,506
1,265
0,2
1,533
1,377
1,166
0,2
0,2
1,207
0,2
0,2
1,209
1,217
1,873
0,2
1,501
0,2
0,2
0,2
1,706
1,536
1,143
0,2
1,568
1,499
1,61
1,398
1,435
0,2
1,194
1,50
0,2
1,579
0,2
1,306
1,241
1,394
1,244
0,2
1,750
1,795
1,371
1,348
1,206
1,746
1,158
1,69
1,498
0,2
1,50
0,2
1,769
1,95
1,86
1,369
0,2
1,377
1,398
1,138
0,2
1,493
1,458
1,326
1,740
1,205
1,380
1,78
0,2
1,535
0,2
1,157
1,472
0,2
1,764
0,2
1,374
1,466
0,2
1,167
0,2
0,2
0,2
1,579
1,767
1,461
0,2
1,70
1,131
0,2
0,2
1,176
1,282
0,2
0,2
1,131
1,412
1,154
1,241
1,149
1,183
1,263
1,207
0,2
0,2
0,2
1,436
1,235
0,2
0,2
1,472
0,2
1,377
0,2
1,543
0,2
1,401
0,2
1,681
1,210
1,426
1,144
1,573
0,2
1,430
1,885
1,608
1,393
1,792
1,796
0,2
1,276
1,436
0,2
1,460
0,2
1,420
1,130
0,2
0,2
1,267
0,2
1,243
1,202
1,719
1,205
1,694
1,222
0,2
1,156
0,2
1,809
0,2
1,485
0,2
1,664
1,339
1,838
1,121
0,2
1,766
0,2
1,281
1,258
1,552
1,190
1,669
1,109
1,227
1,171
1,151
0,2
0,2
1,95
1,638
1,623
0,2
1,809
0,2
1,453
0,2
1,60
0,2
1,116
1,177
1,223
1,356
0,2
1,611
0,2
0,2
1,38
1,427
1,173
1,872
1,413
1,129
1,640
0,2
1,777
0,2
1,256
1,401
1,465
1,858
1,210
1,119
1,820
0,2
1,343
1,665
0,2
0,2
1,358
1,605
1,410
1,464
1,426
0,2
1,452
1,441
1,165
1,229
0,2
1,87
1,722
0,2
1,42
1,239
1,187
1,561
1,539
1,442
1,618
1,153
1,419
0,2
1,715
1,152
1,198
0,2
1,819
1,78
0,2
1,350
1,645
0,2
1,255
1,290
1,378
1,29
1,287
1,620
0,2
1,280
1,104
1,164
0,2
1,296
1,866
0,2
1,528
1,681
1,823
1,154
1,171
1,655
1,64
1,521
1,339
1,69
1,67
1,367
1,428
0,2
0,2
1,168
1,197
0,2
1,430
1,543
0,2
1,168
1,38
0,2
1,847
1,47
1,109
1,232
0,2
1,543
1,170
0,2
1,710
1,215
0,2
0,2
1,113
1,266
0,2
0,2
0,2
1,218
1,323
1,409
0,2
0,2
1,647
1,830
1,418
1,318
1,863
1,72
1,669
0,2
1,333
0,2
1,748
1,381
1,407
0,2
1,106
1,165
1,106
0,2
1,794
1,244
1,468
0,2
0,2
1,54
1,430
0,2
1,685
1,236
0,2
1,275
0,2
1,252
1,400
0,2
1,242
1,100
1,52
1,496
1,101
1,119
1,123
1,166
0,2
1,205
0,2
1,70
1,274
0,2
1,81
1,74
0,2
1,838
1,331
0,2
1,807
1,673
1,384
1,485
1,292
1,310
1,201
0,2
0,2
0,2
0,2
1,202
1,173
1,467
0,2
0,2
0,2
0,2
1,278
1,457
0,2
1,181
1,107
1,308
1,657
0,2
0,2
1,356
0,2
1,378
1,459
0,2
1,285
0,2
1,110
0,2
0,2
0,2
1,361
1,197
1,538
1,74
0,2
0,2
1,429
1,162
0,2
1,872
0,2
0,2
1,763
1,655
1,469
0,2
0,2
1,486
1,709
1,138
1,307
1,223
1,117
1,476
0,2
1,52
1,142
1,377
0,2
0,2
0,2
0,2
1,651
1,63
1,199
1,123
1,46
1,62
0,2
0,2
1,224
1,335
1,207
0,2
1,636
1,100
1,535
0,2
0,2
0,2
1,340
1,215
1,457
0,2
1,541
1,487
1,381
1,16
1,679
1,635
1,155
1,174
0,2
1,893
1,295
0,2
0,2
0,2
1,320
1,320
1,129
1,99
0,2
1,249
0,2
0,2
0,2
1,397
1,89
1,568
1,247
1,460
1,71
1,513
1,361
1,628
1,53
1,318
1,431
0,2
1,365
1,382
1,616
1,399
1,806
1,171
1,115
1,72
1,322
1,74
0,2
0,2
1,349
1,240
1,219
1,126
0,2
0,2
0,2
0,2
1,70
1,227
0,2
0,2
0,2
0,2
0,2
1,602
1,408
1,346
1,178
1,806
1,124
1,277
